CVEGEO,Nombre,VPC_2003,VPC_2004,VPC_2005,VPC_2006,VPC_2007,VPC_2008,VPC_2009,VPC_2010,VPC_2011,VPC_2012,VPC_2013,VPC_2014,VPC_2015,VPC_2016
20498,Santiago Yaveo,138821,279211,144515,156816,329509,182125,214102,294960,371299,243732,298054,499736,624587,674857
20499,Santiago Yolomécatl,1275,297,338,207,1009,1147,673,1016,1325,1325,639,826,1014,1042
20500,Santiago Yosondúa,7591,5751,3501,14001,7466,10073,9262,6261,9297,9205,10879,10296,10649,11742
20501,Santiago Yucuyachi,129,359,20,0,540,578,300,640,409,864,709,661,605,587
20502,Santiago Zacatepec,12197,16664,15495,16576,24949,22289,22638,22221,24919,20007,13596,18215,10632,11365
20503,Santiago Zoochila,251,374,320,591,299,527,327,342,449,479,542,472,401,540
20504,Nuevo Zoquiápam,1491,1573,1454,1669,1786,1982,2103,2001,2136,2437,2260,2144,5118,14071
20505,Santo Domingo Ingenio,37703,41405,23844,22535,19018,37748,31737,19862,64153,57016,22193,41962,10699,56887
20506,Santo Domingo Albarradas,11165,2410,2585,5697,2314,3014,1716,2797,4048,5767,3379,4829,5469,5395
20507,Santo Domingo Armenta,8973,7353,4467,4108,6036,6559,6566,6227,7281,9761,9669,23502,24480,29588
20508,Santo Domingo Chihuitán,3933,6300,10041,8853,10733,14032,15490,13668,13666,17186,12722,13729,13955,16994
20509,Santo Domingo de Morelos,36030,31876,26060,27350,38425,47310,46781,45595,40284,62946,55966,58909,67734,69486
20510,Santo Domingo Ixcatlán,695,597,490,769,842,993,849,721,901,880,1750,1705,1805,2795
20511,Santo Domingo Nuxaá,4030,3795,3357,7533,8646,4680,10502,8496,13146,10467,11448,7964,5730,8939
20512,Santo Domingo Ozolotepec,515,612,605,670,847,1103,839,1340,1357,1366,899,1358,1192,1332
20513,Santo Domingo Petapa,16382,23772,29137,55423,65716,40426,49286,49106,52500,53553,55990,54155,56250,54001
20514,Santo Domingo Roayaga,1692,2017,1864,1903,2379,2712,2708,2844,3003,2683,2103,2241,1648,1620
20515,Santo Domingo Tehuantepec,43323,45641,56686,50726,48279,54758,68570,63116,56256,62965,43594,41748,39722,59829
20516,Santo Domingo Teojomulco,3384,2958,4409,6176,8200,8501,6630,8507,9391,8861,11028,10033,13298,9053
20517,Santo Domingo Tepuxtepec,4992,5038,4995,5399,5164,5661,5852,4905,5203,7350,6572,5593,5567,6174
20518,Santo Domingo Tlatayápam,164,123,133,38,243,307,155,231,287,376,21,197,246,249
20519,Santo Domingo Tomaltepec,2907,2297,1831,2132,3234,3889,3450,4699,4352,4764,3583,2980,3045,2239
20520,Santo Domingo Tonalá,24873,20972,18555,3874,20125,29156,23967,48859,43686,46225,45014,23425,27115,36981
20521,Santo Domingo Tonaltepec,963,235,403,30,362,471,269,566,611,648,233,466,636,651
20522,Santo Domingo Xagacía,1642,1246,1092,1405,1182,1344,1118,1124,1146,1285,1335,1324,1137,1249
20523,Santo Domingo Yanhuitlán,3169,4110,3333,7145,8481,10500,13542,10442,13650,12242,9511,10556,10023,11736
20524,Santo Domingo Yodohino,1593,1502,1665,2572,2373,2947,1906,2501,1990,2673,2538,1808,1629,1653
20525,Santo Domingo Zanatepec,67985,65602,109318,132276,125167,146675,156253,106471,157188,129462,125691,133011,153132,200445
